"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"68","RRV001","all","con_0006.nii","meal","rest","54_-44_43","right IPL","cognitive_control",1.51923,0.80711,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1551.17
"69","RRV001","all","con_0006.nii","meal","rest","-53_-50_39","left IPL","cognitive_control",0.308093,0.725131,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1551.17
"70","RRV001","all","con_0006.nii","meal","rest","32_-59_41","right IPS","cognitive_control",0.635271,0.591189,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1551.17
"71","RRV001","all","con_0006.nii","meal","rest","-32_-58_46","left IPS","cognitive_control",2.24766,1.21827,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1551.17
"72","RRV001","all","con_0006.nii","meal","rest","-6_49_1","left vmPFC","value",-0.489935,0.715861,"value_association-test_z_FDR_0.01","association","unmasked",-141.439
"73","RRV001","1","con_0007.nii","dessert","rest","9_3_-6","right VS","reward",0.479955,0.370013,"reward_association-test_z_FDR_0.01","association","unmasked",8342.23
"74","RRV001","1","con_0007.nii","dessert","rest","-9_3_-6","left VS","reward",0.605862,0.385939,"reward_association-test_z_FDR_0.01","association","unmasked",8342.23
"75","RRV001","1","con_0007.nii","dessert","rest","-30_33_-18","left lOFC","reward",0.613105,0.423044,"reward_association-test_z_FDR_0.01","association","unmasked",8342.23
"76","RRV001","1","con_0007.nii","dessert","rest","46_28_31","right dlPFC","cognitive_control",-0.293852,0.596598,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1022.7
"77","RRV001","1","con_0007.nii","dessert","rest","-44_27_33","left dlPFC","cognitive_control",0.500128,0.418817,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1022.7
"78","RRV001","1","con_0007.nii","dessert","rest","44_8_34","right MFG","cognitive_control",0.602069,0.416004,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1022.7
"79","RRV001","1","con_0007.nii","dessert","rest","-42_7_36","left MFG","cognitive_control",1.70949,1.01996,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1022.7
"80","RRV001","1","con_0007.nii","dessert","rest","54_-44_43","right IPL","cognitive_control",0.827017,0.496164,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1022.7
"81","RRV001","1","con_0007.nii","dessert","rest","-53_-50_39","left IPL","cognitive_control",0.536207,0.491246,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1022.7
