"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"103","RRV001","all","con_0027.nii","dessert","nature","-42_7_36","left MFG","cognitive_control",0.931747,0.614137,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",14699.2
"104","RRV001","all","con_0027.nii","dessert","nature","54_-44_43","right IPL","cognitive_control",1.42944,0.897113,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",14699.2
"105","RRV001","all","con_0027.nii","dessert","nature","-53_-50_39","left IPL","cognitive_control",0.37361,0.757523,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",14699.2
"106","RRV001","all","con_0027.nii","dessert","nature","32_-59_41","right IPS","cognitive_control",-0.0714717,0.194109,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",14699.2
"107","RRV001","all","con_0027.nii","dessert","nature","-32_-58_46","left IPS","cognitive_control",1.2715,0.735553,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",14699.2
"108","RRV001","all","con_0027.nii","dessert","nature","-6_49_1","left vmPFC","value",-0.126769,0.487138,"value_uniformity-test_z_FDR_0.01","uniformity","masked",5100.71
"109","RRV001","all","con_0030.nii","food","nature","9_3_-6","right VS","reward",0.504425,0.876999,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",4592.81
"110","RRV001","all","con_0030.nii","food","nature","-9_3_-6","left VS","reward",0.380207,0.289268,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",4592.81
"111","RRV001","all","con_0030.nii","food","nature","-30_33_-18","left lOFC","reward",-0.537539,0.360032,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",4592.81
"112","RRV001","all","con_0030.nii","food","nature","46_28_31","right dlPFC","cognitive_control",-0.527744,0.22754,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",13938.3
"113","RRV001","all","con_0030.nii","food","nature","-44_27_33","left dlPFC","cognitive_control",-0.518842,0.889792,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",13938.3
"114","RRV001","all","con_0030.nii","food","nature","44_8_34","right MFG","cognitive_control",0.0029917,0.233863,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",13938.3
"115","RRV001","all","con_0030.nii","food","nature","-42_7_36","left MFG","cognitive_control",0.994967,0.654579,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",13938.3
"116","RRV001","all","con_0030.nii","food","nature","54_-44_43","right IPL","cognitive_control",1.55293,0.744364,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",13938.3
"117","RRV001","all","con_0030.nii","food","nature","-53_-50_39","left IPL","cognitive_control",0.203809,0.604516,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",13938.3
"118","RRV001","all","con_0030.nii","food","nature","32_-59_41","right IPS","cognitive_control",-0.017792,0.194513,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",13938.3
"119","RRV001","all","con_0030.nii","food","nature","-32_-58_46","left IPS","cognitive_control",0.897468,0.521393,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",13938.3
"120","RRV001","all","con_0030.nii","food","nature","-6_49_1","left vmPFC","value",-0.646448,0.239307,"value_uniformity-test_z_FDR_0.01","uniformity","masked",2348.19
"121","RRV002","all","con_0003.nii","snack","rest","9_3_-6","right VS","reward",0.490796,0.864436,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",11016.8
"122","RRV002","all","con_0003.nii","snack","rest","-9_3_-6","left VS","reward",0.684692,0.57122,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",11016.8
"123","RRV002","all","con_0003.nii","snack","rest","-30_33_-18","left lOFC","reward",-0.651537,0.342061,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",11016.8
"124","RRV002","all","con_0003.nii","snack","rest","46_28_31","right dlPFC","cognitive_control",-0.394561,0.333921,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",861.37
"125","RRV002","all","con_0003.nii","snack","rest","-44_27_33","left dlPFC","cognitive_control",-1.0905,0.467647,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",861.37
"126","RRV002","all","con_0003.nii","snack","rest","44_8_34","right MFG","cognitive_control",-1.07137,0.317408,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",861.37
"127","RRV002","all","con_0003.nii","snack","rest","-42_7_36","left MFG","cognitive_control",-0.406235,0.222515,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",861.37
