"","DBIC_ID","fVn_left.dlPFC","fVn_left.IPL","fVn_left.IPS","fVn_left.MFG","fVn_right.dlPFC","fVn_right.IPL","fVn_right.IPS","fVn_right.MFG","fVn_left.lOFC","fVn_left.VS","fVn_right.VS","fVn_left.vmPFC","fVr_left.dlPFC","fVr_left.IPL","fVr_left.IPS","fVr_left.MFG","fVr_right.dlPFC","fVr_right.IPL","fVr_right.IPS","fVr_right.MFG","fVr_left.lOFC","fVr_left.VS","fVr_right.VS","fVr_left.vmPFC","fVn_left.dlPFC_z","fVn_left.IPL_z","fVn_left.IPS_z","fVn_left.MFG_z","fVn_right.dlPFC_z","fVn_right.IPL_z","fVn_right.IPS_z","fVn_right.MFG_z","fVn_left.lOFC_z","fVn_left.VS_z","fVn_right.VS_z","fVn_left.vmPFC_z","fVr_left.dlPFC_z","fVr_left.IPL_z","fVr_left.IPS_z","fVr_left.MFG_z","fVr_right.dlPFC_z","fVr_right.IPL_z","fVr_right.IPS_z","fVr_right.MFG_z","fVr_left.lOFC_z","fVr_left.VS_z","fVr_right.VS_z","fVr_left.vmPFC_z"
"11","06apr15sh",0.755266,-0.309483,1.31527,0.888625,0.398089,0.136501,1.76162,0.714533,0.296071,0.398935,-0.0190976,-0.282891,0.657524,-0.473774,1.49034,0.54155,1.03487,2.22384,3.55177,0.420565,0.362078,0.453456,0.11133,-1.11929,0.876191612946154,-0.613647926398955,1.67747513703409,0.8539887172732,0.367450933817378,0.357130011878498,2.394185403851,0.350019241172318,0.0209117164873028,0.662076160291394,-0.346735172789171,-0.653651455942789,0.577755061627812,-0.617169732541248,1.01206281530058,-0.260617317235407,1.12367183181772,2.97139411082709,2.93972311729972,-0.453640379827224,0.120306947790063,0.594561051497129,0.258346169880454,-0.793488283597405
"12","06mar15zs",-0.273305,-0.571811,0.427739,0.703835,-0.366904,0.0208085,0.379172,0.046784,1.11456,-0.526413,-0.300782,-0.318943,-0.714327,-1.64339,0.0746158,0.916072,-0.497266,-1.71093,0.37696,1.39074,0.0319396,-0.583293,-0.623311,-1.39824,-0.825369602736508,-1.17511859858103,0.141175575211319,0.495414481932119,-1.16752721320119,0.176651753970467,-0.146990245241785,-0.83418896008116,1.69307495165121,-1.64668323532621,-1.0551721157326,-0.719660299369559,-1.43686258795911,-2.76971427287492,-0.787588006619371,0.187981411544478,-1.16627244356581,-1.8460602944992,-0.910158085476167,0.544578391955342,-0.379378476889837,-1.60117267291907,-1.37079928952302,-1.24605715158682
"13","07apr15as",0.737153,0.743452,0.580025,0.780815,1.26339,-0.109414,0.492429,0.522042,-0.16779,0.674641,0.904057,-0.0598724,-0.0328089,-0.388139,-0.855254,0.442454,0.664062,-1.0568,0.84257,0.00408956,-0.145407,0.80584,0.859791,-0.535919,0.846227343780817,1.63998920808168,0.40477979306032,0.644789689662821,2.1036996649735,-0.0264930474680758,0.0611954734899871,0.00864932393173307,-0.926750757200636,1.34996743787361,1.97500086473426,-0.245319051397757,-0.436026205018874,-0.459568304626895,-1.96962681746158,-0.379313521002266,0.569458852769893,-1.0451897353163,-0.345543766249353,-0.882154413062881,-0.647803813465457,1.34087615066258,1.91813896621306,0.152973638208849
"14","07apr15as2",-0.476382,-0.135486,0.0939128,-0.365135,-0.212611,-1.26465,0.533048,-0.179861,0.752813,0.0505023,0.0397046,-0.77469,-1.04467,-0.270572,-0.376988,0.425717,-0.444264,-1.01329,1.30264,0.195429,-0.38297,-0.0389079,-0.0991464,-1.09259,-1.16131913562941,-0.241235478823154,-0.436671333555765,-1.57885956077883,-0.857934336876912,-1.82864081636098,0.135860136240774,-1.23612871255266,0.954030158342032,-0.207269501951794,-0.198847498475833,-1.55410311433739,-1.92198439653562,-0.243199681101389,-1.36166108515555,-0.399360933233294,-1.08705517663659,-0.991919165200199,0.212352562967547,-0.685284136267083,-1.00737049381294,-0.448217885270676,-0.208407892813553,-0.75017016646058
"15","07apr15cn",0.344108,-0.839142,0.603296,0.113857,0.0660638,-0.411672,0.333109,0.388561,0.716716,0.489555,0.44477,0.409436,0.0263053,0.0875724,0.416052,0.580463,0.162133,-0.737564,1.16476,0.29826,0.780815,0.162064,0.286953,-1.03831,0.196014448396841,-1.74729738340426,0.445061458831068,-0.649403474764998,-0.298766177005163,-0.498010192302578,-0.231661910233279,-0.228070304119399,0.880284419181565,0.888174640464115,0.81989295597659,0.613953796002332,-0.349214655760819,0.415924144898836,-0.353558597527386,-0.214007712638049,-0.180728754726426,-0.654339730223568,0.0451546455366644,-0.5794807146976,0.754091977566022,-0.0225789133594422,0.647809068108045,-0.662106218962944
"16","07apr15es",-0.463302,-0.860483,-0.1186,-0.221635,-0.438299,-0.524475,-0.069211,1.02599,-0.0693408,0.0915997,-0.0858101,0.22409,-0.409594,-0.839852,1.35993,1.25581,0.0879181,-0.41168,0.832119,1.19358,-0.320412,-0.06927,-0.32566,-0.818096,-1.13968093982073,-1.79297434360308,-0.804527015804306,-1.30040616626914,-1.31078311855769,-0.673980881213265,-0.971194816456883,0.902367404535804,-0.725620219378748,-0.104730772322017,-0.514517270612528,0.274597447012591,-0.989350080980165,-1.29089444239155,0.84628726121555,0.594916210883958,-0.291651013196406,-0.255350383597119,-0.358216999750007,0.341719306692734,-0.912684989802732,-0.512521865225417,-0.710726171990912,-0.304830719068979
"17","07apr15me",-0.0268781,0.180728,0.394678,0.669825,-0.0478055,-0.488912,0.246829,0.76522,-0.183886,-0.0772747,0.381229,0.0545639,0.286431,-0.796214,1.06405,0.0679415,1.09893,-0.98757,1.32805,0.244352,-0.136612,0.480528,0.8031,-0.89117,-0.417706489989882,0.435569464352501,0.0839476025394658,0.429420057212436,-0.527247858688918,-0.6185032289369,-0.390259293284016,0.439909246394243,-0.959634692639228,-0.526075345044156,0.660087188274976,-0.0357937044256363,0.0327902604663457,-1.21058369198194,0.470168321389789,-0.827900870776583,1.21941648521733,-0.960429414260502,0.243165582128547,-0.634946973413042,-0.634492022682986,0.651896919086483,1.79242057418342,-0.423386078307045
"18","07apr15mm",-1.08557,-0.774864,-0.275512,0.115885,-0.196253,-1.05709,-0.206351,0.0951714,0.632919,0.0478439,0.276675,0.0052699,-0.547524,-0.601646,0.763066,0.404169,0.159934,-0.832191,0.874505,0.121837,0.112927,0.367468,-0.0955795,-0.225908,-2.16909659956655,-1.60972071653484,-1.07613875313487,-0.645468258848165,-0.825111588787806,-1.50485088000909,-1.22328157018403,-0.748377141692316,0.709088150670894,-0.213902256307247,0.397133627010996,-0.126047779868863,-1.19190576115791,-0.852503530524131,0.0875612408689125,-0.425170913442064,-0.184015399946934,-0.770194343838293,-0.306818313006277,-0.761003378520308,-0.256798906131873,0.412446816040813,-0.200497908291663,0.655935915800774
"19","07may15ha",1.14105,0.65603,1.38622,0.564503,1.26717,0.713232,1.51309,1.36536,2.25202,0.261319,0.371106,0.997829,1.21332,0.173115,1.59769,0.727876,0.722539,-0.0547825,2.02392,0.873293,2.2268,0.433563,0.103546,0.0531292,1.51439266278221,1.45287655101304,1.80028826008142,0.225048848734741,2.11128433227859,1.25682019198141,1.93734479641475,1.50421740694598,4.01689212386678,0.318721840632939,0.634627818947401,1.6912627222868,1.393963550137,0.573355521176133,1.14852478701308,-0.0374378865513865,0.656859104047588,0.181609701395128,1.08700090851837,0.012174125918211,2.94268206222678,0.552429608901273,0.241084312379993,1.10864625719148
"20","08mar15cf",1.60783,0.680612,1.00903,2.26449,0.934598,0.773994,1.51419,1.64544,-0.553864,0.769958,-0.111618,0.270686,1.41558,0.0155294,0.516394,3.1852,0.751791,0.309833,1.23116,1.54854,-0.716232,0.970272,-0.449757,-1.58652,2.28658509700051,1.50549034772395,1.1473794245321,3.52377463808903,1.44397005318028,1.35160783946943,1.93936678437668,2.00092055888941,-1.71549532047842,1.58778501494957,-0.579424201134026,0.359911661711187,1.69099038891573,0.283337239179986,-0.226005107396263,2.90592037437935,0.700579406908117,0.628019160327988,0.125673514969581,0.706939741389505,-1.5117836853704,1.68912716201943,-0.985924621404424,-1.55152288546403
