DBIC_ID,fVn_left dlPFC,fVn_left IPL,fVn_left IPS,fVn_left MFG,fVn_right dlPFC,fVn_right IPL,fVn_right IPS,fVn_right MFG,fVn_left lOFC,fVn_left VS,fVn_right VS,fVn_left vmPFC,fVr_left dlPFC,fVr_left IPL,fVr_left IPS,fVr_left MFG,fVr_right dlPFC,fVr_right IPL,fVr_right IPS,fVr_right MFG,fVr_left lOFC,fVr_left VS,fVr_right VS,fVr_left vmPFC
20feb15rw,0.0572497,-0.0649609,1.23005,0.29365,0.773856,0.103176,0.615148,0.948654,0.109325,-0.0274622,0.323882,0.364182,0.350097,-0.40616,2.14905,0.455278,1.23971,0.193189,1.55896,1.83792,-0.860726,0.378393,0.564607,-0.592326
23feb15bf,-0.474096,-0.745677,-0.874214,0.754588,0.194915,0.189823,-0.770991,0.990202,-0.0106987,0.446092,0.457476,0.972025,0.109873,-0.0461261,1.65251,1.11735,0.341218,-0.231059,0.83432,0.296638,0.00188579,0.967286,-1.55666,-0.537656
23feb15eb,-0.425055,-0.342625,0.235394,1.45373,-0.432507,0.264153,0.89019,0.428984,1.10702,-0.618742,0.59558,0.432372,-0.153947,-0.45806,0.704091,1.34388,0.315902,1.46541,2.136,1.22215,0.973002,0.0999308,0.334982,0.0201996
23feb15jk,-0.531584,-0.641795,-1.075,-0.255005,-0.118219,-0.63581,0.156153,0.33858,-0.295742,0.189304,-0.408943,0.213986,-0.856968,-0.718931,-0.743859,0.345028,-0.0432835,-0.798327,0.442365,2.26478,0.00439814,0.629068,-0.157837,-0.508547
25feb15nh,0.740279,0.352153,0.171836,0.262476,0.635696,0.373536,0.0141248,0.531852,0.0884577,-0.275462,0.129041,0.692336,-0.373905,-0.248251,0.348147,-0.765327,-0.475792,0.340074,0.625222,0.237407,-0.385818,-0.195347,-0.433339,-0.843155
27feb15bh,1.09034,0.571899,0.604963,0.958335,0.423644,-0.139938,0.779717,0.190111,0.309612,0.40836,0.223793,0.083345,1.60162,0.638149,1.01067,2.11147,0.423867,-0.602756,1.149,0.437183,2.17035,0.489983,-0.0319766,0.0424422
27feb15ea,0.632517,-0.141616,1.76385,0.780036,0.665111,-0.109505,1.2377,1.44776,0.111523,0.871914,0.155791,0.028357,0.571172,-0.135376,1.7113,0.799589,0.451392,-0.581712,1.59365,1.56881,1.39833,0.575812,-0.749461,-0.920885
27feb15mc,-1.08682,-0.584244,-0.504299,0.031364,-0.870259,-1.31073,-0.296012,-0.271951,-0.0843051,-0.0408874,-0.240345,-0.0709086,-0.275893,-0.164378,0.0258358,1.87959,-0.390212,-1.06868,0.081209,0.0939936,0.831708,-0.159411,-0.383054,-0.315993
28apr15jr,0.857302,0.177606,0.12907,0.96859,0.497314,0.406838,0.693508,1.44954,0.148364,0.581489,0.137684,0.0744353,0.761359,-0.371099,0.226923,0.589042,-0.30647,-0.327293,0.680237,0.00141065,0.105209,-0.68006,-0.172939,-0.791825
28apr15js,-0.426498,-0.253695,0.0529839,0.0342818,0.338028,-0.0362415,0.179573,0.32721,-0.0446816,-0.42667,-0.297423,-1.15432,-0.171908,-1.03209,0.331385,-0.378641,-0.235684,-0.0190498,0.731872,2.14723,-0.104952,0.0562582,-0.490237,-2.02367
29apr15ma,0.544059,-0.100399,0.144651,0.718265,0.73247,-0.42665,0.0456812,0.870788,1.26307,0.26666,-0.402411,-1.085,2.03463,-0.830439,-0.0990157,0.0533851,2.40725,-0.631028,-0.0309797,0.689463,1.52033,0.201318,0.262601,-0.87104
30apr15kh,0.0174996,-0.509771,0.337876,0.378128,-0.357094,0.248423,0.224574,0.369286,0.0123665,0.771686,0.637012,-0.062678,-0.305296,-0.602096,0.432039,1.24205,-0.498828,-1.04036,1.38566,0.669156,0.124739,0.747276,0.286812,-0.464351
