"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"45","RRV001","1","con_0004.nii","meal","rest","-53_-50_39","left IPL","cognitive_control",0.195986,0.332085,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38688.2
"46","RRV001","1","con_0004.nii","meal","rest","32_-59_41","right IPS","cognitive_control",0.293513,0.239013,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38688.2
"47","RRV001","1","con_0004.nii","meal","rest","-32_-58_46","left IPS","cognitive_control",1.21558,0.701079,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38688.2
"48","RRV001","1","con_0004.nii","meal","rest","-6_49_1","left vmPFC","value",-0.0301324,0.397584,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",21117.9
"49","RRV001","2","con_0005.nii","meal","rest","9_3_-6","right VS","reward",-0.106925,0.235701,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",314.64
"50","RRV001","2","con_0005.nii","meal","rest","-9_3_-6","left VS","reward",-0.165356,0.425933,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",314.64
"51","RRV001","2","con_0005.nii","meal","rest","-30_33_-18","left lOFC","reward",-0.303069,0.268548,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",314.64
"52","RRV001","2","con_0005.nii","meal","rest","46_28_31","right dlPFC","cognitive_control",-1.00358,0.900862,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",11490.8
"53","RRV001","2","con_0005.nii","meal","rest","-44_27_33","left dlPFC","cognitive_control",-0.497774,0.915027,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",11490.8
"54","RRV001","2","con_0005.nii","meal","rest","44_8_34","right MFG","cognitive_control",-0.390672,0.384409,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",11490.8
"55","RRV001","2","con_0005.nii","meal","rest","-42_7_36","left MFG","cognitive_control",0.965044,0.805561,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",11490.8
"56","RRV001","2","con_0005.nii","meal","rest","54_-44_43","right IPL","cognitive_control",0.803707,0.493357,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",11490.8
"57","RRV001","2","con_0005.nii","meal","rest","-53_-50_39","left IPL","cognitive_control",0.112107,0.458046,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",11490.8
"58","RRV001","2","con_0005.nii","meal","rest","32_-59_41","right IPS","cognitive_control",0.341758,0.382296,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",11490.8
"59","RRV001","2","con_0005.nii","meal","rest","-32_-58_46","left IPS","cognitive_control",1.03207,0.545604,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",11490.8
"60","RRV001","2","con_0005.nii","meal","rest","-6_49_1","left vmPFC","value",-0.459803,0.515726,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",553.234
"61","RRV001","all","con_0006.nii","meal","rest","9_3_-6","right VS","reward",0.400816,0.501131,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",42205.2
"62","RRV001","all","con_0006.nii","meal","rest","-9_3_-6","left VS","reward",0.517483,0.421399,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",42205.2
"63","RRV001","all","con_0006.nii","meal","rest","-30_33_-18","left lOFC","reward",-0.311708,0.275124,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",42205.2
"64","RRV001","all","con_0006.nii","meal","rest","46_28_31","right dlPFC","cognitive_control",-1.16664,0.754133,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",50179
"65","RRV001","all","con_0006.nii","meal","rest","-44_27_33","left dlPFC","cognitive_control",-0.287565,1.06561,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",50179
"66","RRV001","all","con_0006.nii","meal","rest","44_8_34","right MFG","cognitive_control",0.630839,0.810485,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",50179
"67","RRV001","all","con_0006.nii","meal","rest","-42_7_36","left MFG","cognitive_control",2.96721,2.02348,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",50179
"68","RRV001","all","con_0006.nii","meal","rest","54_-44_43","right IPL","cognitive_control",1.51923,0.80711,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",50179
"69","RRV001","all","con_0006.nii","meal","rest","-53_-50_39","left IPL","cognitive_control",0.308093,0.725131,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",50179
"70","RRV001","all","con_0006.nii","meal","rest","32_-59_41","right IPS","cognitive_control",0.635271,0.591189,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",50179
"71","RRV001","all","con_0006.nii","meal","rest","-32_-58_46","left IPS","cognitive_control",2.24766,1.21827,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",50179
"72","RRV001","all","con_0006.nii","meal","rest","-6_49_1","left vmPFC","value",-0.489935,0.715861,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",21671.2
"73","RRV001","1","con_0007.nii","dessert","rest","9_3_-6","right VS","reward",0.479955,0.370013,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",35956.6
"74","RRV001","1","con_0007.nii","dessert","rest","-9_3_-6","left VS","reward",0.605862,0.385939,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",35956.6
"75","RRV001","1","con_0007.nii","dessert","rest","-30_33_-18","left lOFC","reward",0.613105,0.423044,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",35956.6
"76","RRV001","1","con_0007.nii","dessert","rest","46_28_31","right dlPFC","cognitive_control",-0.293852,0.596598,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",31496.7
"77","RRV001","1","con_0007.nii","dessert","rest","-44_27_33","left dlPFC","cognitive_control",0.500128,0.418817,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",31496.7
"78","RRV001","1","con_0007.nii","dessert","rest","44_8_34","right MFG","cognitive_control",0.602069,0.416004,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",31496.7
"79","RRV001","1","con_0007.nii","dessert","rest","-42_7_36","left MFG","cognitive_control",1.70949,1.01996,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",31496.7
"80","RRV001","1","con_0007.nii","dessert","rest","54_-44_43","right IPL","cognitive_control",0.827017,0.496164,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",31496.7
"81","RRV001","1","con_0007.nii","dessert","rest","-53_-50_39","left IPL","cognitive_control",0.536207,0.491246,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",31496.7
"82","RRV001","1","con_0007.nii","dessert","rest","32_-59_41","right IPS","cognitive_control",0.662715,0.216671,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",31496.7
"83","RRV001","1","con_0007.nii","dessert","rest","-32_-58_46","left IPS","cognitive_control",1.69258,0.609638,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",31496.7
"84","RRV001","1","con_0007.nii","dessert","rest","-6_49_1","left vmPFC","value",0.665925,0.380594,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",17699
"85","RRV001","2","con_0008.nii","dessert","rest","9_3_-6","right VS","reward",0.598472,0.448832,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",7258.17
"86","RRV001","2","con_0008.nii","dessert","rest","-9_3_-6","left VS","reward",-0.0626092,0.362962,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",7258.17
"87","RRV001","2","con_0008.nii","dessert","rest","-30_33_-18","left lOFC","reward",0.148656,0.193523,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",7258.17
"88","RRV001","2","con_0008.nii","dessert","rest","46_28_31","right dlPFC","cognitive_control",-0.709533,0.615531,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",13909.1
"89","RRV001","2","con_0008.nii","dessert","rest","-44_27_33","left dlPFC","cognitive_control",0.226548,0.795815,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",13909.1
"90","RRV001","2","con_0008.nii","dessert","rest","44_8_34","right MFG","cognitive_control",-0.248688,0.319685,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",13909.1
"91","RRV001","2","con_0008.nii","dessert","rest","-42_7_36","left MFG","cognitive_control",1.05981,0.766204,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",13909.1
"92","RRV001","2","con_0008.nii","dessert","rest","54_-44_43","right IPL","cognitive_control",0.370256,0.503108,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",13909.1
"93","RRV001","2","con_0008.nii","dessert","rest","-53_-50_39","left IPL","cognitive_control",0.342546,0.539535,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",13909.1
"94","RRV001","2","con_0008.nii","dessert","rest","32_-59_41","right IPS","cognitive_control",0.0490565,0.287708,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",13909.1
"95","RRV001","2","con_0008.nii","dessert","rest","-32_-58_46","left IPS","cognitive_control",1.44417,0.680514,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",13909.1
"96","RRV001","2","con_0008.nii","dessert","rest","-6_49_1","left vmPFC","value",-1.36803,0.296439,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",3294.72
"97","RRV001","all","con_0009.nii","dessert","rest","9_3_-6","right VS","reward",1.07843,0.660095,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",43214.7
"98","RRV001","all","con_0009.nii","dessert","rest","-9_3_-6","left VS","reward",0.543253,0.394733,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",43214.7
"99","RRV001","all","con_0009.nii","dessert","rest","-30_33_-18","left lOFC","reward",0.76176,0.376848,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",43214.7
"100","RRV001","all","con_0009.nii","dessert","rest","46_28_31","right dlPFC","cognitive_control",-1.00338,1.13583,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",45405.8
"101","RRV001","all","con_0009.nii","dessert","rest","-44_27_33","left dlPFC","cognitive_control",0.726676,1.1492,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",45405.8
